Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by SA4 (POW)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"SA4 (POW)","Sydney - Baulkham Hills and Hawkesbury","Sydney - Blacktown","Sydney - City and Inner South","Sydney - Eastern Suburbs","Sydney - Inner South West","Sydney - Inner West","Sydney - North Sydney and Hornsby","Sydney - Northern Beaches","Sydney - Outer South West","Sydney - Outer West and Blue Mountains","Sydney - Parramatta","Sydney - Ryde","Sydney - South West","Sydney - Sutherland","Total",
"Manly Vale - Allambie Heights",37,17,1869,97,34,102,1227,4285,3,8,116,225,21,4,8035,
"Narrabeen - Collaroy",64,43,1955,115,58,143,1600,7349,8,24,223,368,30,13,11984,
"Terrey Hills - Duffys Forest",18,18,246,12,7,22,297,934,10,5,41,65,4,0,1686,
"Camden - Ellis Lane",49,147,439,33,179,71,50,4,3534,133,246,40,836,41,5807,
"Elderslie - Harrington Park",82,374,855,62,437,155,130,20,5079,249,641,113,1794,77,10055,
"Mount Annan - Currans Hill",108,448,1372,94,806,250,166,27,7050,338,992,148,2417,137,14346,
"Bradbury - Wedderburn",47,217,686,35,413,129,105,11,3724,148,504,63,1040,72,7190,
"Campbelltown - Woodbine",40,193,1032,82,414,167,183,19,3429,105,547,98,1057,73,7427,
"Claymore - Eagle Vale - Raby",64,324,993,85,632,169,125,19,4031,143,662,70,1488,72,8892,
"Holsworthy Military Area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ingleburn - Denham Court",65,228,1568,126,703,233,202,15,2882,107,703,128,1486,114,8571,
"Leumeah - Minto Heights",33,196,938,53,481,147,137,19,3375,100,507,74,1010,53,7124,
"Macquarie Fields - Glenfield",73,241,1887,155,845,253,263,32,2440,101,901,147,1627,123,9085,
"Minto - St Andrews",39,275,1340,128,623,201,174,18,3416,106,724,84,1240,81,8455,
"Rosemeadow - Glen Alpine",55,209,997,57,505,190,111,18,4395,141,616,71,1173,68,8600,
"Bargo",10,45,86,8,56,25,10,6,1475,30,78,10,199,22,2070,
"Douglas Park - Appin",26,121,326,22,159,55,40,11,2626,57,180,32,552,79,4284,
"Picton - Tahmoor - Buxton",29,137,403,15,176,59,45,6,4523,120,226,22,641,52,6455,
"The Oaks - Oakdale",22,113,191,18,110,36,29,5,2578,196,186,26,541,27,4077,
"Blackheath - Megalong Valley",11,36,117,16,13,12,14,12,11,1552,52,16,10,0,1867,
"Blaxland - Warrimoo - Lapstone",171,746,853,47,82,176,198,21,94,5218,946,118,304,25,9002,
"Blue Mountains - North",5,0,0,0,0,0,0,0,0,7,0,0,0,0,6,
"Katoomba - Leura",37,112,356,34,27,67,77,16,13,4068,171,37,45,8,5058,
"Lawson - Hazelbrook - Linden",76,302,329,19,37,76,74,8,20,3472,394,49,117,8,4962,
"Springwood - Winmalee",234,803,675,38,87,153,156,31,64,6384,862,129,274,12,9908,
"Wentworth Falls",25,74,147,16,16,44,38,6,9,1713,119,20,32,8,2265,
"Blue Mountains - South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Cambridge Park",230,1149,436,30,92,136,133,25,78,3523,983,93,373,7,7281,
"Castlereagh - Cranebrook",436,1590,834,41,137,261,237,37,105,5845,1283,202,472,11,11487,
"Emu Plains - Leonay",151,781,527,30,70,120,100,10,77,3619,732,97,265,18,6604,
"Glenmore Park - Regentville",296,1460,864,45,179,243,158,23,192,5238,1480,174,618,16,10991,
"Jamisontown - South Penrith",200,1003,495,30,88,156,112,15,88,4105,902,124,360,17,7675,
"Kingswood - Werrington",232,1366,714,39,146,188,167,19,97,3703,1188,161,448,13,8493,
"Mulgoa - Luddenham - Orchard Hills",107,542,255,9,72,102,53,14,110,2358,501,69,411,12,4609,
"Penrith",152,715,542,42,44,112,106,15,64,2765,649,79,196,9,5492,
"Warragamba - Silverdale",48,258,91,3,51,43,18,4,173,1251,212,21,286,10,2468,
"Richmond - Clarendon",857,650,194,17,35,56,108,16,36,3376,407,59,124,3,5937,
"Windsor - Bligh Park",1186,1175,312,16,56,85,152,10,34,3218,610,101,160,6,7133,
"Yarramundi - Londonderry",256,386,125,13,18,32,43,10,27,1709,216,27,97,0,2956,
"Erskine Park",103,827,271,22,78,82,72,8,58,977,622,74,260,7,3464,
"St Clair",325,2100,719,36,211,256,190,27,140,2983,1709,203,723,13,9644,
"Colyton - Oxley Park",117,1125,315,15,104,117,117,19,60,1389,860,96,324,6,4684,
"St Marys - North St Marys",187,1330,502,30,138,152,116,15,84,1969,997,131,374,6,6042,
"Homebush Bay - Silverwater",181,260,2152,144,441,1083,640,58,51,106,2674,592,233,44,8647,
"Rookwood Cemetery",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Auburn - Central",79,238,1086,150,381,549,372,75,68,99,2310,203,278,39,5928,
"Auburn - North",101,196,941,169,333,391,352,82,41,81,1419,227,146,38,4514,
"Auburn - South",46,112,468,32,279,227,111,14,24,18,1151,128,132,19,2746,
"Berala",34,97,737,59,396,335,147,24,28,25,1235,147,178,24,3468,
"Lidcombe",115,214,2230,190,627,967,569,66,58,88,2847,453,290,66,8786,
"Regents Park",18,75,333,36,263,185,71,9,12,16,663,75,116,14,1879,
"Carlingford",562,341,2200,101,280,585,1461,145,53,122,3835,1979,247,27,11929,
"Ermington - Rydalmere",224,284,1642,140,255,658,866,110,40,86,3050,1577,192,19,9164,
"Oatlands - Dundas Valley",288,276,1141,94,212,444,715,71,37,88,2848,1096,212,11,7544,
"Chester Hill - Sefton",71,173,950,66,1111,412,179,27,106,61,2098,162,555,52,6018,
"Fairfield - East",91,179,573,49,459,230,98,17,86,80,1687,104,862,26,4531,
"Granville - Clyde",169,364,1452,127,409,540,420,76,76,150,3290,307,421,38,7828,
"Greystanes - Pemulwuy",438,1087,1377,87,372,565,411,40,107,309,5144,420,999,29,11376,
"Guildford - South Granville",122,223,770,77,524,346,202,34,59,73,2802,198,438,23,5897,
"Guildford West - Merrylands West",159,466,948,67,372,402,267,33,93,136,3494,251,651,26,7352,
"Merrylands - Holroyd",314,657,1576,130,439,611,486,61,117,189,4953,444,756,50,10789,
"Smithfield Industrial",0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,
"Yennora Industrial",0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,
"North Parramatta",444,461,1922,113,281,543,672,77,43,192,4170,791,344,19,10063,
"North Rocks",276,171,563,19,84,160,310,29,16,54,1399,403,87,11,3574,
"Northmead",718,526,1953,116,263,444,790,81,54,168,3465,658,265,21,9507,
"Parramatta - Rosehill",612,732,3665,248,496,752,1075,102,91,249,4563,708,550,56,13899,
"Toongabbie - Constitution Hill",535,1025,1469,69,241,466,496,53,73,247,3856,552,384,32,9498,
"Winston Hills",589,497,667,33,91,190,348,40,27,103,1890,356,140,13,4978,
"Pendle Hill - Girraween",233,549,911,38,143,270,282,38,40,153,1987,276,222,18,5173,
"Wentworthville - Westmead",239,412,1457,111,192,335,467,44,45,135,2542,358,290,20,6638,
"Epping - North Epping",402,246,3004,193,234,565,1949,185,15,88,1537,3982,163,26,12579,
"Pennant Hills - Cheltenham",710,243,2145,105,116,316,1984,136,10,87,995,2695,110,14,9669,
"Eastwood - Denistone",238,162,2625,168,255,712,1452,158,36,74,1305,3826,124,27,11158,
"Gladesville - Huntleys Point",109,107,2146,166,142,624,940,100,10,26,560,2001,88,17,7043,
"Hunters Hill - Woolwich",62,50,1366,93,86,320,595,36,16,22,316,1239,74,11,4285,
"Macquarie Park - Marsfield",199,131,2185,113,136,415,1911,273,20,42,638,3619,89,18,9802,
"North Ryde - East Ryde",97,62,1346,90,89,315,1133,126,20,27,373,1937,40,21,5678,
"West Ryde - Meadowbank",198,179,2824,177,219,862,1249,162,21,63,1177,2713,111,27,9974,
"Putney",33,30,473,36,45,214,175,22,8,22,218,663,57,6,1990,
"Ryde",186,197,3203,172,297,1046,1881,253,24,81,1225,4214,111,35,12925,
"Ashcroft - Busby - Miller",38,222,333,28,413,113,51,10,282,87,664,46,1922,40,4240,
"Austral - Greendale",50,126,187,16,107,73,51,3,353,174,236,24,2091,21,3513,
"Cobbitty - Leppington",97,315,848,63,446,230,138,21,1962,259,649,102,3038,71,8247,
"Badgerys Creek",0,0,0,0,0,0,0,0,0,0,3,0,15,0,22,
"Cecil Hills",51,215,326,25,155,110,59,13,142,96,488,50,1436,3,3172,
"Green Valley",69,280,581,52,353,166,65,10,244,135,767,82,2120,32,4945,
"Hinchinbrook",71,320,549,38,378,182,93,12,252,151,779,107,2330,36,5309,
"Hoxton Park - Carnes Hill - Horningsea Park",67,285,647,32,418,134,96,9,341,122,653,84,2135,37,5071,
"West Hoxton - Middleton Grange",134,391,770,34,449,196,122,14,399,157,925,130,3007,52,6776,
"Bonnyrigg Heights - Bonnyrigg",74,292,662,39,393,199,113,21,197,154,997,102,2565,39,5852,
"Bossley Park - Abbotsbury",123,462,768,43,301,225,144,26,186,216,1387,157,3602,38,7671,
"Cabramatta - Lansvale",134,426,956,71,733,303,206,23,278,165,1478,147,3169,68,8154,
"Cabramatta West - Mount Pritchard",68,294,592,50,463,149,109,20,248,164,956,117,2555,41,5836,
"Canley Vale - Canley Heights",87,338,934,85,585,238,180,27,202,164,1348,102,2688,39,7022,
"Edensor Park",67,207,450,28,182,153,91,12,108,121,656,86,1792,20,3969,
"Fairfield",62,230,650,60,317,202,139,20,116,91,1168,101,1671,25,4843,
"Fairfield - West",113,331,688,62,392,197,135,12,127,122,1319,124,2368,18,6013,
"Greenfield Park - Prairiewood",43,177,342,30,151,99,76,5,100,69,581,54,1257,7,2989,
"Horsley Park - Kemps Creek",23,120,112,7,41,52,23,0,58,102,198,18,1122,8,1878,
"Smithfield - Wetherill Park",108,380,642,50,349,200,126,29,118,155,1446,154,2476,32,6261,
"St Johns Park - Wakeley",69,207,507,26,249,154,93,16,102,116,793,80,1611,21,4056,
"Wetherill Park Industrial",0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,
"Casula",67,216,944,68,675,211,117,5,455,86,678,97,2530,72,6222,
"Chipping Norton - Moorebank",81,187,1318,127,1436,297,210,21,347,102,985,140,2878,162,8293,
"Holsworthy - Wattle Grove",70,221,2120,173,1407,303,250,20,500,81,878,163,3784,328,10283,
"Liverpool",83,299,1046,107,784,288,180,41,433,157,1069,181,3356,87,8091,
"Lurnea - Cartwright",29,131,352,32,311,79,45,9,202,51,404,55,1451,28,3190,
"Prestons - Edmondson Park",81,284,1214,88,685,206,177,23,579,155,926,140,2987,67,7615,
"Warwick Farm",24,70,275,14,151,75,37,5,80,26,284,36,756,11,1848,
"Gymea - Grays Point",24,39,2310,256,1011,171,247,19,56,17,261,95,174,3930,8611,
"Miranda - Yowie Bay",23,32,2190,245,990,208,199,15,54,17,261,92,183,3737,8248,
"Sylvania - Taren Point",33,35,1755,240,1209,161,154,13,48,21,209,80,161,2491,6610,
