Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"Main Statistical Area Structure (Main ASGS) (UR) by SA2 (POW) by MTW15P Method of Travel to Work (15 travel modes)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

" UR - Sydney (SA2)"
"MTW15P Method of Travel to Work (15 travel modes)","Train","Bus","Ferry","Tram","Taxi","Car, as driver","Car, as passenger","Truck","Motorbike/scooter","Bicycle","Walked only","Other Mode","Worked at home","Did not go to work","Not stated","Not applicable","Total",
"Frenchs Forest - Belrose",428,547,7,8,61,9674,457,51,138,60,199,43,825,937,123,0,13558,
"Freshwater - Brookvale",390,1346,21,5,29,10010,765,106,201,189,606,59,613,1232,116,0,15673,
"Manly Vale - Allambie Heights",70,186,0,0,10,1947,177,27,18,31,175,19,455,294,34,0,3444,
"Narrabeen - Collaroy",52,284,0,0,5,2712,199,34,21,37,218,30,620,474,51,0,4733,
"Terrey Hills - Duffys Forest",41,54,3,0,0,1621,85,41,13,3,48,3,157,200,9,0,2284,
"Camden - Ellis Lane",29,52,0,5,0,3381,220,53,11,13,72,11,257,513,43,0,4655,
"Elderslie - Harrington Park",49,83,0,0,0,4108,367,63,24,6,77,25,346,536,53,0,5741,
"Mount Annan - Currans Hill",79,80,0,0,5,6894,483,152,42,29,92,27,363,651,85,0,8978,
"Bradbury - Wedderburn",14,17,0,0,7,1095,95,37,3,0,33,8,133,158,17,0,1614,
"Campbelltown - Woodbine",657,445,4,5,22,12221,1158,69,54,26,243,33,212,1966,180,0,17309,
"Claymore - Eagle Vale - Raby",20,21,0,0,0,1297,133,33,4,0,53,13,177,192,23,0,1966,
"Holsworthy Military Area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ingleburn - Denham Court",486,60,5,5,25,8292,606,165,61,36,141,28,229,525,110,0,10774,
"Leumeah - Minto Heights",29,10,0,0,5,909,67,23,4,0,41,13,140,151,13,0,1401,
"Macquarie Fields - Glenfield",106,36,0,0,17,2178,157,30,3,14,76,19,139,306,29,0,3108,
"Minto - St Andrews",323,80,0,3,11,5481,456,84,41,14,121,19,186,438,70,0,7321,
